,TrialNum,Subject,CorResp,accuracy,Resp,RT,Diapo,Age_year,Gender,paper_number
313,674,1012,Image1,1.0,Image1,3353.0,11,21,female,10
314,675,1012,Image5,1.0,Image5,2320.0,13,21,female,21
315,676,1013,Image6,1.0,Image6,2685.0,43,18,male,32
316,677,1013,Image5,1.0,Image5,3877.0,30,18,male,26
317,678,1013,Image2,1.0,Image2,4128.0,25,18,male,17
318,679,1013,Image1,1.0,Image1,2407.0,11,18,male,10
319,680,1013,Image1,1.0,Image1,1628.0,12,18,male,15
320,681,1013,Image5,1.0,Image5,2261.0,8,18,male,8
321,682,1013,Image4,1.0,Image4,5671.0,44,18,male,30
322,683,1013,Image1,1.0,Image1,2351.0,18,18,male,34
323,684,1013,Image5,1.0,Image5,2441.0,40,18,male,12
324,685,1013,Image6,1.0,Image6,5118.0,36,18,male,39
325,686,1013,Image2,1.0,Image2,1092.0,5,18,male,4
326,687,1013,Image5,1.0,Image5,4959.0,13,18,male,21
327,688,1013,Image6,1.0,Image6,2474.0,16,18,male,31
328,689,1013,Image2,1.0,Image2,1293.0,10,18,male,7
329,690,1013,Image2,1.0,Image2,2343.0,41,18,male,27
330,691,1013,Image6,1.0,Image6,3697.0,38,18,male,29
331,692,1013,Image6,1.0,Image6,3067.0,14,18,male,13
332,693,1013,Image2,1.0,Image2,1082.0,17,18,male,22
333,694,1013,Image1,1.0,Image1,4212.0,19,18,male,36
334,695,1013,Image5,1.0,Image5,1561.0,6,18,male,5
335,696,1013,Image4,1.0,Image4,3945.0,27,18,male,42
336,697,1013,Image1,1.0,Image1,5020.0,35,18,male,43
339,700,1013,Image4,1.0,Image4,1027.0,3,18,male,6
340,701,1013,Image1,1.0,Image1,1383.0,4,18,male,3
341,702,1013,Image4,0.0,Image3,4188.0,21,18,male,37
342,703,1013,Image2,0.0,Image6,3958.0,33,18,male,41
343,704,1013,Image6,1.0,Image6,22616.0,34,18,male,45
344,705,1013,Image3,1.0,Image3,5352.0,37,18,male,11
345,706,1013,Image4,1.0,Image4,1412.0,7,18,male,9
346,707,1013,Image4,1.0,Image4,2501.0,23,18,male,19
