Subject CorResp Acc Resp RT Diapo Age_year Gender
723 1014 Image2 1 Image2 2051 5 21 female
724 1014 Image3 1 Image3 1425 37 21 female
725 1014 Image4 0 Image3 9949 44 21 female
726 1014 Image2 1 Image2 1583 17 21 female
727 1014 Image2 1 Image2 1941 41 21 female
728 1014 Image5 1 Image5 1922 40 21 female
729 1014 Image6 1 Image6 6289 29 21 female
730 1014 Image5 0 Image3 9210 22 21 female
731 1014 Image2 0 Image6 5079 33 21 female
732 1014 Image4 1 Image4 1487 7 21 female
733 1014 Image2 0 Image4 4741 25 21 female
734 1014 Image4 0 Image3 2840 21 21 female
735 1014 Image5 1 Image5 1233 15 21 female
736 1014 Image1 1 Image1 2246 12 21 female
737 1014 Image6 0 Image5 3051 38 21 female
738 1014 Image3 1 Image3 2929 45 21 female
739 1014 Image1 1 Image1 2526 18 21 female
740 1014 Image4 1 Image4 3043 23 21 female
741 1014 Image6 0 Image5 1592 43 21 female
742 1014 Image6 1 Image6 2655 32 21 female
743 1014 Image4 1 Image4 9004 1 21 female
744 1014 Image3 1 Image3 2441 2 21 female
745 1014 Image4 1 Image4 2445 3 21 female
746 1014 Image5 1 Image5 6069 13 21 female
747 1014 Image2 1 Image2 5614 31 21 female
748 1014 Image3 1 Image3 1622 24 21 female
749 1014 Image5 1 Image5 1512 8 21 female
750 1014 Image5 1 Image5 1813 30 21 female
751 1014 Image5 1 Image5 1145 6 21 female
752 1014 Image5 1 Image5 1232 9 21 female
753 1014 Image1 1 Image1 2896 35 21 female
754 1014 Image3 1 Image3 1677 26 21 female
755 1014 Image2 1 Image2 979 10 21 female
756 1014 Image1 1 Image1 2595 11 21 female
757 1014 Image3 0 Image1 4425 20 21 female
758 1014 Image1 1 Image1 3220 19 21 female
759 1014 Image4 0 Image1 1662 27 21 female
760 1014 Image6 1 Image6 3382 36 21 female
761 1014 Image3 1 Image3 2359 42 21 female
762 1014 Image6 1 Image6 1647 16 21 female
763 1014 Image1 0 Image5 6004 39 21 female
764 1014 Image1 NA NaN NA 4 21 female
765 1014 Image6 0 Image4 3947 34 21 female
766 1016 Image3 0 Image1 3429 20 21 male
767 1016 Image2 1 Image2 6984 25 21 male
768 1016 Image6 1 Image6 7430 29 21 male
769 1016 Image5 1 Image5 2304 15 21 male
770 1016 Image1 1 Image1 4413 35 21 male
771 1016 Image2 1 Image2 2770 41 21 male
772 1016 Image6 1 Image6 2731 43 21 male
773 1016 Image4 1 Image4 4348 27 21 male
774 1016 Image1 1 Image1 5986 19 21 male
775 1016 Image6 0 Image3 8755 32 21 male
776 1016 Image4 0 Image2 7828 44 21 male
777 1016 Image5 1 Image5 1977 8 21 male
778 1016 Image2 1 Image2 5347 31 21 male
779 1016 Image1 1 Image1 6394 18 21 male
780 1016 Image5 1 Image5 1912 6 21 male
781 1016 Image4 1 Image4 2601 7 21 male
782 1016 Image1 1 Image1 3556 11 21 male
783 1016 Image2 1 Image2 1243 5 21 male
784 1016 Image1 1 Image1 7716 12 21 male
785 1016 Image4 1 Image4 4575 23 21 male
786 1016 Image3 1 Image3 4167 37 21 male
787 1016 Image4 1 Image4 2728 1 21 male
788 1016 Image3 1 Image3 2849 2 21 male
789 1016 Image4 1 Image4 4675 3 21 male
790 1016 Image6 1 Image6 6883 16 21 male
791 1016 Image1 1 Image1 2233 4 21 male
792 1016 Image6 0 Image4 11987 34 21 male
793 1016 Image5 1 Image5 12122 13 21 male
794 1016 Image1 0 Image3 9416 39 21 male
795 1016 Image3 0 Image4 9161 45 21 male
796 1016 Image3 1 Image3 8163 26 21 male
797 1016 Image4 0 Image3 13003 21 21 male
798 1016 Image5 0 Image4 2973 22 21 male
799 1016 Image6 1 Image6 3978 36 21 male
800 1016 Image2 1 Image2 1613 10 21 male
801 1016 Image5 1 Image5 2679 9 21 male
802 1016 Image2 1 Image2 3554 17 21 male
803 1016 Image5 1 Image5 5351 30 21 male
804 1016 Image5 1 Image5 3592 40 21 male
